Company Common Name;Country of Headquarters;TRBC Business Sector Name;Current Ratio;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
General de Alquiler de Maquinaria SA;Spain;Industrial & Commercial Services;1,51714;3,274363542;-0,194147554;-20,35286247;-0,143731908;-0,143731908;0,659768109;2,160320641
Seche Environnement SA;France;Industrial & Commercial Services;0,95202;1,569748896;1,050543177;2,589892376;0,065387575;0,065387575;1,463707469;2,297653184
Gesco AG;Germany;Industrial Goods;2,01463;0,29035342;0,797790127;1,17825923;0,061318078;0,061318078;7,177996117;2,08415572
SFC Energy AG;Germany;Renewable Energy;1,17701;0,000897964;0,635933585;1,485385159;-0,094840961;-0,094840961;2767,167176;2,484817446
GECI International SA;France;Industrial Goods;0,92615;0,204933785;-0,076976834;-19,5728552;-0,067752193;-0,067752193;4,793009378;0,982249554
Frequentis AG;Austria;Technology Equipment;2,27403;0,043540495;0,515758002;1,19048348;0,057195665;0,057195665;36,60363067;1,593740189
STS Group AG;Germany;Automobiles & Auto Parts;0,95095;0,106937481;0,378786081;3,532242113;0,293239843;0,293239843;18,09966719;1,935532814
Westag & Getalit AG;Germany;Cyclical Consumer Products;2,81786;0;1,310222319;0,530879744;0,078485921;0,078485921;#DIV/0!;2,823072476
Eurokai GmbH & Co KGaA;Germany;Transportation;2,81267;0,23552039;1,242934085;0,861999534;0,16570164;0,16570164;4,86403421;1,145579235
Groupe Gorge SA;France;Industrial Goods;1,43809;0,132783876;0,371614951;3,028456165;-0,058643713;-0,058643713;7,661645646;1,017343006
Gaussin SA;France;Industrial Goods;0,54806;0,265948086;0,461119666;5,448777579;-0,927848658;-0,927848658;0,623449132;0,165805103
Abengoa SA;Spain;Industrial & Commercial Services;0,84662;0,29453167;-0,520987652;-3,215646333;0,776576059;0,776576059;0,912070058;0,268633518
Kuka AG;Germany;Industrial Goods;1,22446;0,150177422;0,521501173;2,044746857;0,053226679;0,053226679;13,93311974;2,092440007
