code name ;Company Common Name;Instrument Type;Asset Category Code;ISIN Code;Exchange Name;Ticker Symbol;Currency Code;Country of Headquarters;TRBC Business Sector Name;Return On Equity - Actual;Return On Assets - Actual;Total Revenue;Normalized EBIT;Normalized EBITDA;Net Income Incl Extra Before Distributions;Depreciation And Amortization;Selling/General/Administrative Expense, Total;Total Current Assets;Total Liabilities;Total Current Liabilities;Total Equity;Net Debt Incl. Pref.Stock & Min.Interest;Total Assets, Reported;Total Long Term Debt;Cash;Cash and Equivalents;Quick Ratio;Current Ratio;Accounts Payable;Total Inventory;Common Stock, Total;Property/Plant/Equipment, Total - Net;Cash from Operating Activities, Cumulative;Capital Expenditures, Cumulative;Cash from Investing Activities, Cumulative;Cash from Financing Activities, Cumulative;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
GSJ.MC;Grupo Empresarial San Jose SA;Ordinary Shares;ORD;ES0180918015;BOLSA DE MADRID;GSJ;EUR;Spain;Industrial & Commercial Services;NULL;NULL;682868000;37745000;44305000;11440000;6560000;122429000;677176000;1013611000;521891000;-49235000;187899000;964376000;415881000;152952000;67182000;1,09692;1,29754;379128000;104704000;1951000;45349000;23512000;-4097000;34333000;-89550000;0,614140194;-0,072706357;-20,58720422;0,016893688;0,016893688;1,641979316;1,008405496
B5AG.DE;Bauer AG;Ordinary Shares;ORD;DE0005168108;XETRA;B5A;EUR;Germany;Mineral Resources;0,648;0,165;1667861000;99409000;186340000;2740000;78342000;529432000;988556000;1202220000;864572000;415483000;563547000;1617703000;175977000;NULL;47266000;0,66141;1,14341;233519000;416723000;73001000;407429000;183330000;-88161000;-64816000;-102732000;0,178014194;0,420292831;2,893547991;0,00277172;0,00277172;9,47772152;1,687168962
BDTG.DE;Bertrandt AG;Ordinary Shares;ORD;DE0005232805;XETRA;BDT;EUR;Germany;Industrial & Commercial Services;12,23;6,05;1019914000;71925000;104881000;47385000;32956000;811829000;469481000;389519000;166911000;398876000;129744000;788395000;199810000;NULL;88405000;2,80584;2,81276;17849000;1156000;10143000;282104000;27208000;-52111000;-50935000;-26825000;0,425597628;0,849610527;0,976541582;0,100930602;0,100930602;5,104419198;2,172428703
LAEP.PA;Latecoere SA;Ordinary Shares;ORD;FR0000032278;NYSE EURONEXT - EURONEXT PARIS;LAT;EUR;France;Industrial Goods;0,725;NULL;657409000;41895000;68446000;33686000;26551000;188656000;496998000;447578000;315742000;295342000;-20609000;742920000;45060000;NULL;141992000;1,06059;1,57406;97735000;162125000;190422000;86819000;60711000;-33740000;-32675000;-32967000;0,090664349;0,594251888;1,515456657;0,067778945;0,067778945;14,58963604;1,32275985
IDLA.PA;Id Logistics SAS;Ordinary Shares;ORD;FR0010929125;NYSE EURONEXT - EURONEXT PARIS;IDL;EUR;France;Transportation;11,71;2,33;1329270000;29867000;57607000;16149000;27615000;524162000;406319000;547722000;424580000;153642000;33615000;701364000;94194000;NULL;90147000;0,95668;0,95699;199010000;131000;2801000;79289000;28405000;-38540000;-36793000;9736000;0,23182278;0,378131468;3,564923654;0,039744634;0,039744634;14,11204535;3,27149358
JCQ.PA;Jacquet Metal Service SA;Ordinary Shares;ORD;FR0000033904;NYSE EURONEXT - EURONEXT PARIS;JCQ;EUR;France;Mineral Resources;14,717;NULL;1741149000;80685000;102185000;46235000;21416000;178949000;736292000;708957000;441656000;318908000;199584000;1027865000;173435000;70500000;31645000;0,72065;1,66712;224047000;418012000;36631000;151946000;79880000;-31857000;-30276000;-20011000;0,235551928;0,433127075;2,223076875;0,06279438;0,06279438;10,03920201;2,364753386
VQTG.DE;va Q tec AG;Ordinary Shares;ORD;DE0006636681;XETRA;VQT;EUR;Germany;Cyclical Consumer Products;-1,605;NULL;46926000;135000;7663000;-858000;7528000;17224000;33436000;42499000;18927000;52992000;6935000;95491000;14939000;NULL;5201000;1,29413;1,76658;5244000;8942000;13090000;55402000;1470000;-23020000;-1099000;294000;0,446793875;1,584878574;0,801988979;-0,025660964;-0,025660964;3,141174108;1,403457351
ALFEN.AS;Alfen NV;Ordinary Shares;ORD;NL0012817175;NYSE EURONEXT - EURONEXT AMSTERDAM;ALFEN;EUR;Netherlands;Industrial Goods;NULL;NULL;73368000;2417000;4015000;1721000;1598000;12773000;21026000;22685000;20337000;6806000;3094000;29491000;1660000;NULL;0;0,86242;1,03388;18536000;3487000;18000;4435000;1304000;-3726000;-3726000;-210000;0,078949872;0,323694474;3,333088451;0,081851042;0,081851042;44,19759036;3,489394084
2GBG.DE;2G Energy AG;Ordinary Shares;ORD;DE000A0HL8N9;XETRA;2GB;EUR;Germany;Industrial Goods;4,662;NULL;189404150;8307010;12090390;5006670;3783380;41806300;88815680;61120000;38670510;55138280;-9180530;116258290;6363970;NULL;16117060;1,15979;2,29673;10091990;43966070;4430000;20731780;12845490;-5691400;-4877810;-2113730;0,071653676;0,620816955;1,108485792;0,056371465;0,056371465;29,76194891;2,132553058
EPMF.PA;Financiere de l'Odet SA;Ordinary Shares;ORD;FR0000062234;NYSE EURONEXT - EURONEXT PARIS;ODET;EUR;France;Cyclical Consumer Services;NULL;NULL;18337100000;984300000;1923700000;366800000;939400000;3942000000;12522000000;49020100000;12819900000;4151500000;29444000000;53171600000;7156700000;1490500000;1608200000;0,88539;0,97676;6884700000;1171400000;105400000;3108200000;2063200000;-1102800000;3126800000;-3509600000;0,571530107;0,331536496;11,80780441;0,029292445;0,029292445;2,562228401;1,464390672
EKTG.DE;Energiekontor AG;Ordinary Shares;ORD;DE0005313506;XETRA;EKT;EUR;Germany;Utilities;17,035;3,294;149865000;30172000;46876000;11888000;16704000;23745000;160609000;291481000;57199000;70232000;150805000;361713000;203175000;NULL;66938000;1,9861;2,8079;8383000;47006000;14578000;194559000;4438000;-33708000;-35984000;-20646000;1,265028734;0,437285582;4,150259141;0,074018268;0,074018268;0,737615356;0,933104621
SIFG.AS;Sif Holding NV;Ordinary Shares;ORD;NL0011660485;NYSE EURONEXT - EURONEXT AMSTERDAM;SIFG;EUR;Netherlands;Renewable Energy;37,25;14,97;327180000;43953000;57106000;30760000;13153000;64565000;82169000;111033000;84171000;93239000;25102000;204272000;25984000;877000;NULL;0,61014;0,97622;52592000;30813000;5100000;121574000;53885000;-27587000;-27587000;-25725000;0,316226314;1,134722341;1,190842888;0,374350424;0,374350424;12,59159483;3,98179362
BYWGnx.DE;BayWa AG;Ordinary Shares;ORD;DE0005194062;XETRA;BYW6;EUR;Germany;Food & Beverages;4,116;0,607;16055131000;95445000;239406000;39345000;143962000;1400450000;4077366000;5380481000;2986818000;1107552000;2709635000;6488033000;1042315000;NULL;105547000;0,58209;1,36512;755804000;2338771000;89583000;1408926000;-174289000;-177319000;-60469000;235869000;0,255634397;0,271634187;4,857994026;0,009649612;0,009649612;15,40333872;3,937623211
TTRGn.DE;technotrans SE;Ordinary Shares;ORD;DE000A0XYGA7;XETRA;TTR1;EUR;Germany;Industrial Goods;18,568;9,881;205095000;18198000;23415000;12191000;2891000;42375000;67533000;55754000;32258000;69553000;8431000;125307000;19195000;14798000;NULL;1,26927;2,09353;6062000;26589000;6908000;25477000;11409000;-11471000;-11259000;-8867000;0,284231413;1,029911303;0,801604532;0,180519154;0,180519154;10,68481375;3,036959709
SVEL.AS;Kendrion NV;Ordinary Shares;ORD;NL0000852531;NYSE EURONEXT - EURONEXT AMSTERDAM;KENDR;EUR;Netherlands;Industrial Goods;13;NULL;461800000;35300000;61000000;19500000;25700000;2400000;123500000;180600000;89300000;179600000;70600000;360200000;63400000;NULL;7600000;0,74132;1,38298;43800000;57300000;27000000;105600000;41500000;-29100000;-28300000;-26600000;0,513360324;1,454251012;1,005567929;0,157894737;0,157894737;7,283911672;3,739271255
COLP.PA;Colas SA;Ordinary Shares;ORD;FR0000121634;NYSE EURONEXT - EURONEXT PARIS;RE;EUR;France;Industrial & Commercial Services;NULL;NULL;11705000000;302000000;709000000;330000000;407000000;5901000000;4862000000;5815000000;4715000000;2797000000;-418000000;8612000000;126000000;383000000;297000000;0,92492;1,03118;2041000000;501000000;384000000;2384000000;473000000;-443000000;-438000000;-140000000;0,025915261;0,575277664;2,079013228;0,067873303;0,067873303;92,8968254;2,407445496
GLTN.PA;GL Events SA;Ordinary Shares;ORD;FR0000066672;NYSE EURONEXT - EURONEXT PARIS;GLO;EUR;France;Industrial & Commercial Services;8,901;NULL;953840000;84442000;134802000;35097000;43424000;331814000;601914000;1279333000;677864000;376662000;494514000;1655995000;522940000;177594000;28725000;0,8354;0,88796;207287000;35626000;93611000;428512000;84320000;-75214000;-98212000;38360000;0,86879521;0,625773782;3,396501373;0,058308994;0,058308994;1,823995105;1,58467821
STF.PA;Stef SA;Ordinary Shares;ORD;FR0000064271;NYSE EURONEXT - EURONEXT PARIS;STF;EUR;France;Transportation;15,79;NULL;2975650000;122264000;230407000;93638000;108143000;910156000;740888000;1411985000;1083111000;625822000;521166000;2037807000;246270000;57071000;2348000;0,63031;0,68404;397555000;58187000;13166000;1064434000;183549000;-174184000;-170531000;-32508000;0,332398419;0,844691775;2,256208634;0,126386174;0,126386174;12,08287652;4,016329054
SLTG.DE;Schaltbau Holding AG;Ordinary Shares;ORD;DE000A2NBTL2;XETRA;SLT;EUR;Germany;Industrial Goods;-91,625;-11,358;516459000;-19927000;12351000;-51742000;43113000;231986000;297319000;412696000;198492000;39305000;187740000;452001000;124208000;25297000;NULL;1,02294;1,49789;46442000;94274000;8064000;72312000;10475000;-17622000;-34296000;19908000;0,417760049;0,132198077;10,49983463;-0,174028569;-0,174028569;4,158017197;1,737053468
VIBG_p.DE;Villeroy & Boch AG;Preference Shares;PRF;DE0007657231;XETRA;VIB3;EUR;Germany;Cyclical Consumer Products;16,533;NULL;836500000;48000000;73500000;29900000;NULL;307800000;418300000;497900000;218800000;189200000;-53100000;687100000;50200000;49100000;59600000;1,20521;1,91179;83500000;154600000;71900000;165300000;41000000;-35900000;-27300000;-14100000;0,120009563;0,452306957;2,631606765;0,071479799;0,071479799;16,66334661;1,999760937
MXHNn.DE;MAX Automation SE;Ordinary Shares;ORD;DE000A2DA588;XETRA;MXHN;EUR;Germany;Industrial Goods;11,21;4,44;250829000;20564000;26772000;13965000;6209000;113636000;212254000;184911000;106997000;138421000;47931000;323332000;64847000;NULL;26154000;1,62458;1,98374;72614000;38429000;29459000;32860000;18687000;-7754000;-6549000;-8432000;0,305516033;0,652147898;1,335859443;0,065793813;0,065793813;3,868012398;1,181739802
HNLG.DE;Dr Hoenle AG;Ordinary Shares;ORD;DE0005157101;XETRA;HNL;EUR;Germany;Industrial Goods;28,03;19,08;101926000;15514000;18411000;10427000;2898000;40240000;56002000;34426000;19377000;67880000;6510000;102306000;5435000;NULL;5217000;1,33813;2,89013;5263000;30073000;5513000;19549000;6579000;-5361000;-5348000;-2386000;0,097050105;1,212099568;0,507159694;0,186189779;0,186189779;18,75363385;1,820042141
BE0941244536.BR;Etex NV;Ordinary Shares;ORD;BE0941244536;EURONEXT - VENTES PUBLIQUES BRUSSELS;NULL;EUR;Belgium;Cyclical Consumer Products;NULL;NULL;2793738000;265662000;419206000;148036000;28340000;548707000;898081000;2131187000;962182000;983045000;663679000;3114232000;529735000;95138000;NULL;0,4467;0,93338;693683000;468279000;2533000;1640978000;288388000;-147746000;-170341000;-284067000;0,58985214;1,094606166;2,167944499;0,164835911;0,164835911;5,273840694;3,110786221
EPS.PA;Engie Eps SA;Ordinary Shares;ORD;FR0012650166;NYSE EURONEXT - EURONEXT PARIS;EPS;EUR;France;Renewable Energy;-470,496;NULL;10006370;-3352390;-2076230;-9009510;1276160;3834870;16350200;25079230;7793810;-1637310;12320300;23441920;13403100;NULL;4237540;1,96988;2,09784;3073080;997350;1687930;753410;-9584730;-147740;-2728850;11073330;0,81975144;-0,100140059;-15,31733758;-0,551033626;-0,551033626;0,746571316;0,612002911
SNGGk.DE;Singulus Technologies AG;Ordinary Shares;ORD;DE000A1681X5;XETRA;SNG;EUR;Germany;Industrial Goods;-20;-3,497;90000000;-1100000;1000000;-3200000;1000000;23700000;72400000;68400000;40500000;19500000;-9700000;87900000;12000000;NULL;27200000;1,36049;1,78765;10100000;17300000;8900000;4900000;-14100000;-2200000;-2200000;25500000;0,165745856;0,269337017;3,507692308;-0,044198895;-0,044198895;7,5;1,243093923
